episod,total_reward
487,-3.49539502893
488,-3.2992111083
489,-3.63159271538
490,-3.46736223345
491,-3.2140553999
492,-3.70796812179
493,-3.40767043426
494,-3.54965166915
495,-3.63894494203
496,-3.49220496971
497,-4.19770758604
498,-3.82940480663
499,-3.27742476187
500,-3.43253346787
501,-3.44621717925
502,-3.43525896659
503,-3.78730029815
504,-3.53591798619
505,-3.69052252134
506,-3.5229352652
507,-4.05149186523
508,-3.73958969232
509,-3.96694361353
510,-3.73497384908
511,-3.76702074741
512,-3.46707017751
513,-4.15715632968
514,-3.79828833472
515,-3.28405164759
516,-4.10160557583
517,-3.6662643911
518,-3.79102353007
519,-3.88566584542
520,-3.34348712737
521,-3.2996528808
522,-3.6542378791
523,-3.90629193006
524,-3.03207152908
525,-3.55178475339
526,-3.65714723734
527,-3.78441782048
528,-3.98657774354
529,-3.51395229144
530,-3.26249984168
531,-4.29322166508
532,-3.4126574195
533,-3.85801096678
534,-4.19108316226
535,-4.32550459581
536,-3.43853609966
537,-3.38699046843
538,-3.50955222489
539,3.62890064392
540,14.8470304746
541,-3.32257949622
542,8.08888723169
543,-16.9947945141
544,-18.885729638
545,-4.16631317396
546,-3.66616575552
547,-11.1298225884
548,-0.0493673557814
549,-3.7640251655
550,-4.31203222986
551,-3.29166718819
552,-3.46001327538
553,-4.07527490455
554,-3.74412708258
555,-3.60187155272
556,-3.51010400847
557,0.0565906340667
558,-7.39685957606
559,-28.681511816
560,7.45199562261
561,-3.06917000074
562,-27.323072691
563,-29.5315151724
564,-27.6995771558
565,-20.2129888284
566,-1.23251617014
567,-5.77852590147
568,-5.72798145682
569,-35.8673329221
570,-12.6626965463
571,-26.1927956116
572,-35.6241015219
573,-32.9316559972
574,-29.9777624204
575,-39.7844321702
576,-33.2657508798
577,-67.5461244276
578,-46.5161156757
579,-22.195157607
580,-212.957584226
581,-212.843255118
582,-212.827120217
583,-39.7123770273
584,-160.015862855
585,-213.13668013
586,-126.570349998
587,-146.818377054
588,-9.51802392368
589,-212.823764728
590,-9.54941631976
591,-18.0133571688
592,-3.5936401742
593,8.8923068311
594,-46.0917229592
595,-10.8030830289
596,-113.981898805
597,-73.4594680531
598,-24.781082221
599,-15.0894494653
600,-12.4044432735
601,-19.3805721572
602,-20.1302961731
603,-20.9411755185
604,-12.8025019395
605,-15.2147003109
606,-13.1164318208
607,-26.8340569642
608,-3.48247880039
609,-3.83685769388
610,-3.69258315016
611,-3.7032741125
612,-3.60002688773
613,-8.21471708227
614,-3.50462418265
615,-3.25835381559
616,-10.5142455023
617,-6.8361648549
618,-3.46283982331
619,-8.23934859542
620,-5.67526149607
621,-4.77829002292
622,-21.4858769994
623,-14.1385957597
624,-13.3221282827
625,-25.2071504062
626,-64.8191502873
627,-85.5064927494
628,-22.3545049569
629,-18.6890524879
630,-10.9419283455
631,-14.0474237859
632,-24.9757699953
633,-29.3370220318
634,-27.8039802353
635,-13.9747910384
636,-17.3467784883
637,-46.0370501543
638,-18.2340954365
639,-8.5813524677
640,-20.8048144812
641,-27.6928780621
642,-20.0639898397
643,-14.2638063229
644,-18.0415721144
645,-18.2888740042
646,-16.8948076481
647,-17.2307532175
648,-19.0147761453
649,-18.8194858054
650,-18.1547258103
651,-23.8610498369
652,-17.5747130395
653,-25.7463932891
654,-18.2876895738
655,-16.8407030727
656,-17.4217905537
657,-16.6525776736
658,-10.1538217335
659,-15.7191235533
660,-17.7518134854
661,-17.4774270112
662,-23.483979502
663,-17.7492064905
664,-17.6178986383
665,-30.3470117099
666,-21.5270350616
667,-13.4873090767
668,-27.6397934061
669,-14.1144951347
670,-21.5608350456
671,-15.6577098133
672,-16.461693114
673,-18.6215757743
674,-18.8930360547
675,-23.7273884483
676,-20.9186584064
677,-17.5614274425
678,-13.5537841154
679,-17.9496795013
680,-18.423016661
681,-16.0656078941
682,-20.964755657
683,-15.7212194003
684,-16.6221830418
685,-24.9223466362
686,-37.6764466856
687,-17.3295325032
688,-19.1762359848
689,-59.3710219284
690,-27.0615104918
691,-67.9629133475
692,-17.2246291571
693,-18.7667901497
694,-26.8962789534
695,-24.3019631166
696,-25.6052960339
697,-31.0508193718
698,-16.6011219635
699,-20.6350918877
700,-17.4212049238
701,-13.4462036123
702,-10.8149552287
703,-18.2689758888
704,-20.5559661457
705,-20.446661835
706,-21.8336760946
707,-55.9140693892
708,-23.8094877156
709,-20.5481244557
710,-18.3739398718
711,-25.6407446019
712,-14.707574296
713,-17.4433977315
714,-21.8486728855
715,-21.0878784833
716,-21.4735078902
717,-20.9292713265
718,-24.3553073513
719,-24.3897104439
720,-18.475473186
721,-18.3128721026
722,-21.347274242
723,-24.1530412921
724,-21.5767902224
725,-14.3608816943
726,-23.8469451744
727,-23.614011445
728,-31.1555454501
729,-28.042929581
730,-12.8795436129
731,-14.8178803773
732,-13.4643390562
733,-26.4357377824
734,-16.8869694972
735,-25.2281065577
736,-27.7298356003
737,-18.556111706
738,-23.0071262705
739,-22.862453688
740,-19.3949519502
741,-10.9148368141
742,-3.30343968514
743,-28.5103456868
744,-13.2482232654
745,-11.9802925161
746,-3.78824264857
747,5.05294120939
748,-22.0477108884
749,-10.753528762
750,-19.248050737
751,-9.41182812499
752,-3.0495392475
753,0.139024340934
754,-12.5671636784
755,-23.7215315577
756,9.01587484775
757,-30.9482863338
758,-39.3152978562
759,4.73297192276
760,-8.94862562679
761,-16.3892820184
762,-6.58059710448
763,-4.39486984977
764,-13.0805399043
765,-9.16608029693
766,-27.5230792379
767,-0.997187782294
768,-10.2489173619
769,-15.3192820691
770,-54.8747462616
771,-3.09564875854
772,-31.0285028191
773,-22.8060422609
774,-27.4031487795
775,-31.5407521239
776,-17.5583595269
777,-20.3521768946
778,-20.3140755312
779,-10.6505749382
780,-8.9208248507
781,-4.06544833252
782,0.701223207399
783,0.756753010195
784,-2.45531976134
785,4.03503441168
786,-14.546649683
787,0.741182424917
788,-2.13574019458
789,6.10833337231
790,0.549589635115
791,2.71523068355
792,-1.29423681607
793,0.472396122002
794,-5.7697277101
795,-0.948794864138
796,-0.148095873801
797,13.2740359401
798,-13.7715453722
799,-8.24402377745
800,-10.3816141212
801,6.0268880041
802,-50.9803015921
803,-78.0355127363
804,10.2851202834
805,-19.6423794057
806,-19.6161449337
807,-22.7150216141
808,-23.5595036432
809,-26.6908781486
810,-26.3127054301
811,-21.4967778953
812,-20.0659487766
